"","Date","Day","Hour","Lat","Long","Type","Severity"
"1",2011-02-01,"Tuesday","00:20",-19.8838591189061,-43.9351976573521,"Collision","Nonfatal"
"2",2011-02-01,"Tuesday","00:20",-19.8838591189061,-43.9351976573521,"Collision","Nonfatal"
"3",2011-02-01,"Tuesday","06:05",-19.7967310284866,-43.995339253343,"Running over","Nonfatal"
"4",2011-02-01,"Tuesday","06:20",-19.9046079035249,-43.9456047660455,"Running over","Nonfatal"
"5",2011-02-01,"Tuesday","07:00",-19.9298275623634,-43.9301942297739,"Running over","Nonfatal"
"6",2011-02-01,"Tuesday","07:00",-19.9298275623634,-43.9301942297739,"Running over","Nonfatal"
"7",2011-02-01,"Tuesday","07:00",-19.9055532468073,-43.9298741227278,"Collision","Nonfatal"
"8",2011-02-01,"Tuesday","07:30",-19.8930965421982,-43.9274581779561,"Collision","Nonfatal"
"9",2011-02-01,"Tuesday","07:40",-19.9218837277584,-43.9707434098225,"Collision","Nonfatal"
"10",2011-02-01,"Tuesday","08:05",-19.9463578783922,-43.9402741533628,"Collision","Nonfatal"
"11",2011-02-01,"Tuesday","08:05",-19.9463578783922,-43.9402741533628,"Collision","Nonfatal"
"12",2011-02-01,"Tuesday","08:10",-19.9358674471879,-43.9317239638359,"Collision","Nonfatal"
"13",2011-02-01,"Tuesday","09:05",-19.9225933279248,-43.9270134403375,"Collision","Nonfatal"
"14",2011-02-01,"Tuesday","10:00",-19.9569371661922,-43.9654908923381,"Running over","Nonfatal"
"15",2011-02-01,"Tuesday","10:37",-19.9771511059128,-44.0592481102185,"Collision","Nonfatal"
"16",2011-02-01,"Tuesday","10:50",-19.9936717098699,-44.0062906155737,"Collision","Nonfatal"
"17",2011-02-01,"Tuesday","11:50",-19.9014439444935,-43.9203440718427,"Running over","Nonfatal"
"18",2011-02-01,"Tuesday","12:20",-19.9379503961678,-43.9397608773211,"Running over","Nonfatal"
"19",2011-02-01,"Tuesday","12:20",-19.9281352904814,-43.9635111871945,"Collision","Nonfatal"
"20",2011-02-01,"Tuesday","12:20",-19.9281352904814,-43.9635111871945,"Collision","Nonfatal"
"21",2011-02-01,"Tuesday","13:40",-19.8799461589999,-43.9510927646624,"Collision","Nonfatal"
"22",2011-02-01,"Tuesday","13:45",-19.8566342358966,-43.9598452903253,"Collision","Nonfatal"
"23",2011-02-01,"Tuesday","15:25",-19.9193145021375,-43.9466249772091,"Running over","Nonfatal"
"24",2011-02-01,"Tuesday","15:37",-19.9194793697457,-43.91416337507,"Collision","Nonfatal"
"25",2011-02-01,"Tuesday","15:50",-19.7836227517509,-43.9795091201567,"Collision","Nonfatal"
"26",2011-02-01,"Tuesday","16:20",-19.929217643861,-43.9521052212765,"Collision","Nonfatal"
"27",2011-02-01,"Tuesday","17:20",-19.9756239171169,-43.9695554030995,"Collision","Nonfatal"
"28",2011-02-01,"Tuesday","17:40",-19.8965036782009,-43.934588805197,"Collision","Nonfatal"
"29",2011-02-01,"Tuesday","17:40",-19.955216933681,-43.9866019504636,"Collision","Nonfatal"
"30",2011-02-01,"Tuesday","18:00",-19.7932600011216,-43.9885447564584,"Running over","Nonfatal"
"31",2011-02-01,"Tuesday","18:10",-19.9231618610922,-43.9200481170701,"Collision","Nonfatal"
"32",2011-02-01,"Tuesday","18:20",-19.8757732381298,-43.9526605210924,"Collision","Nonfatal"
"33",2011-02-01,"Tuesday","18:20",-19.8757732381298,-43.9526605210924,"Collision","Nonfatal"
"34",2011-02-01,"Tuesday","18:20",-19.8757732381298,-43.9526605210924,"Collision","Nonfatal"
"35",2011-02-01,"Tuesday","18:30",-19.8908723476737,-44.0099618281993,"Collision","Nonfatal"
"36",2011-02-01,"Tuesday","20:45",-19.7997008108804,-43.9534288434826,"Running over","Nonfatal"
"37",2011-02-01,"Tuesday","20:45",-19.9935787873693,-44.0275440310274,"Running over","Nonfatal"
"38",2011-02-01,"Tuesday","21:10",-19.884838712755,-43.9060954862349,"Collision","Nonfatal"
"39",2011-02-01,"Tuesday","21:30",-19.9042321074498,-43.8891809846338,"Collision","Nonfatal"
"40",2011-02-01,"Tuesday","21:30",-19.9042321074498,-43.8891809846338,"Collision","Nonfatal"
"41",2011-02-01,"Tuesday","23:32",-19.9519047867416,-43.9976896590011,"Running over","Nonfatal"
"42",2011-02-01,"Tuesday","23:45",-19.8538338053339,-43.9265990424662,"Running over","Nonfatal"
"43",2011-02-10,"Thursday","00:20",-19.9846239743149,-44.0387649582299,"Collision","Nonfatal"
"44",2011-02-10,"Thursday","07:10",-19.8391847610055,-43.9306826140081,"Collision","Nonfatal"
"45",2011-02-10,"Thursday","07:20",-19.993446717357,-44.0262167171043,"Collision","Nonfatal"
"46",2011-02-10,"Thursday","07:20",-19.8689750825,-43.9278677677617,"Collision","Nonfatal"
"47",2011-02-10,"Thursday","08:00",-19.901656434981,-43.9327252003927,"Running over","Nonfatal"
"48",2011-02-10,"Thursday","08:30",-19.9236112326893,-43.9395646566897,"Running over","Nonfatal"
"49",2011-02-10,"Thursday","08:30",-19.9236112326893,-43.9395646566897,"Running over","Nonfatal"
"50",2011-02-10,"Thursday","08:30",-19.8759448893862,-43.9282016024982,"Running over","Nonfatal"
"51",2011-02-10,"Thursday","08:56",-19.9229387727423,-43.9690045509922,"Collision","Nonfatal"
"52",2011-02-10,"Thursday","09:30",-19.9208478191183,-43.9401750342782,"Running over","Nonfatal"
"53",2011-02-10,"Thursday","09:30",-19.9208478191183,-43.9401750342782,"Running over","Nonfatal"
"54",2011-02-10,"Thursday","09:30",-19.9751909560285,-44.0132763654662,"Running over","Nonfatal"
